"","PU_1Km_ID","raw_score","UpperOceanSR","PU_4Km_ID","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_score","coral_rank","coral_hotspot"
"165",31613,4.32410469612609e-06,"(11) Mainland Fjords",8160,26.0833333333333,30,6,0,0,0,3.94204496648191e-06,3,0
"166",31802,1.15386125546096e-06,"(13) Eastern Queen Charlotte Sound",8312,105.6,105.6,0,0,1,0,1.05191092116326e-06,3,0
"167",31807,7.32996901226538e-05,"(11) Mainland Fjords",8313,30,30,1,0,0,0,6.682323736323e-05,10,1
"168",31808,1.18852647589797e-05,"(11) Mainland Fjords",8314,23,26,2,0,0,0,1.08351326831691e-05,6,0
"169",31809,1.25712855262201e-05,"(11) Mainland Fjords",8314,34.2888655941667,46.81698113,2,0,1,0,1.14605395367138e-05,6,0
"170",31812,0.00841811381735771,"(11) Mainland Fjords",8315,40.7959967316667,63,1,0,3,0,0.00767432463666211,10,1
"171",31813,0.00722617630745057,"(11) Mainland Fjords",8315,91.7009990947059,140.5865177,0,0,17,0,0.00658770171897468,10,1
"172",31817,1.23441569225863e-05,"(11) Mainland Fjords",8316,27,27,1,0,0,0,1.12534790625535e-05,6,0
"173",31828,1.28834780738579e-05,"(11) Mainland Fjords",8326,29.25,33,2,0,0,0,1.17451480620558e-05,6,0
"174",32018,0.0021562245407491,"(11) Mainland Fjords",8313,44.33333333,44.33333333,0,0,1,0,0.00196570959650439,10,1
"175",32020,5.07158661897243e-08,"(11) Mainland Fjords",8313,26.07122383,31.57606838,0,0,4,0,4.62348252606099e-08,1,0
"176",32031,1.23441569225863e-05,"(11) Mainland Fjords",8316,27,27,1,0,0,0,1.12534790625535e-05,6,0
"177",32040,7.27988099226667e-06,"(11) Mainland Fjords",8318,32.9521739125,35.80869565,1,0,1,0,6.63666128340092e-06,3,0
"178",32234,1.02264293172026e-05,"(11) Mainland Fjords",8314,25.5,30,2,0,0,0,9.3228649738933e-06,5,0
"179",32237,1.04369962481154e-05,"(11) Mainland Fjords",8314,25.5,31,2,0,0,0,9.51482709517498e-06,5,0
"180",32240,1.36155460175469e-05,"(11) Mainland Fjords",8315,27,30,2,0,0,0,1.24125335569369e-05,7,0
"181",32241,1.22405450658404e-05,"(11) Mainland Fjords",8315,47.3261868036111,85.7462963,2,0,3,0,1.11590219142982e-05,6,0
"182",32243,6.57259178895491e-07,"(11) Mainland Fjords",8316,75.1247619025,98.0047619,0,0,4,0,5.99186518346838e-07,2,0
"183",32253,2.75799209430872e-07,"(11) Mainland Fjords",8318,36.8825968775,40.46857143,0,0,2,0,2.51430749646436e-07,1,0
