"","PU_4Km_ID","raw_score","obs_score","UpperOceanSR","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","coral_rank","coral_hotspot","coral_hotspot2"
"161",10524,4.78318733424301e-06,0,"(11) Mainland Fjords",332.33317528416,515.7025758,0,0,9,40,0,4.21052322072229e-06,9,0,0
"162",10525,0.114095796871373,0.121016951947153,"(11) Mainland Fjords",173.042001872398,319.4306807,0,0,16,63,0.106794174769239,0.100435748914642,10,1,1
"163",10527,4.64061776067866e-06,0,"(11) Mainland Fjords",96.143758046111,131.4230769,0,0,7,0,0,4.08502270022967e-06,8,0,0
"164",10528,2.58862815561912e-06,0,"(11) Mainland Fjords",60.3833333333333,77.325,2,0,1,0,0,2.27870626789381e-06,8,0,0
"165",10674,1.28564709975909e-08,0,"(13) Eastern Queen Charlotte Sound",34,34,1,0,0,0,0,1.13172380442561e-08,1,0,0
"166",10675,2.12067586141995e-08,0,"(13) Eastern Queen Charlotte Sound",26.1190476190476,35,7,0,0,0,0,1.86677926959076e-08,2,0,0
"167",10676,2.31071400693403e-08,0,"(13) Eastern Queen Charlotte Sound",23.8333333333333,27,4,0,0,0,0,2.03406521693003e-08,3,0,0
"168",10680,2.90736569540764e-08,0,"(11) Mainland Fjords",20,20,1,0,0,0,0,2.55928315498072e-08,6,0,0
"169",10682,5.5541177435588e-06,0,"(11) Mainland Fjords",86.0085260444445,152.2994565,2,0,18,0,0,4.88915446870765e-06,9,0,0
"170",10683,3.14420434699863e-06,0,"(11) Mainland Fjords",84.7040897190719,120.8548387,0,0,17,0,0,2.76776644706283e-06,8,0,0
"171",10684,1.52239066422695e-06,0,"(11) Mainland Fjords",51.0058895466667,85.6,0,0,8,0,0,1.34012339363097e-06,7,0,0
"172",10685,2.50368329352215e-08,0,"(11) Mainland Fjords",25.5,28,2,0,0,0,0,2.20393137631057e-08,5,0,0
"173",10845,1.84083776837642e-08,0,"(11) Mainland Fjords",30,30,1,0,0,0,0,1.62044461730416e-08,1,0,0
"174",10846,1.05758796924262e-06,0,"(11) Mainland Fjords",53.068565408492,86.4,0,0,7,0,0,9.30968910745647e-07,7,0,0
"175",10863,1.87740891648314e-08,0,"(11) Mainland Fjords",29.5,33,2,0,0,0,0,1.6526373075652e-08,1,0,0
"176",10990,2.39428234069756e-08,0,"(13) Eastern Queen Charlotte Sound",24.75,29,4,0,0,0,0,2.10762838417405e-08,4,0,0
"177",10994,2.09148454660234e-08,0,"(11) Mainland Fjords",28,28,1,0,0,0,0,1.84108286669158e-08,2,0,0
"178",11016,2.27251416328746e-08,0,"(11) Mainland Fjords",25,30,2,0,0,0,0,2.00043882568451e-08,3,0,0
"179",11021,3.08182172514038e-08,0,"(11) Mainland Fjords",18,18,1,0,0,0,0,2.71285254560986e-08,6,0,0
"180",11152,7.15906065562273e-07,0,"(11) Mainland Fjords",49.2896535580952,62.70918367,0,0,9,0,0,6.30194659390847e-07,7,0,0
"181",11171,3.94169603707985e-06,0,"(11) Mainland Fjords",81.9185185194444,112.5,0,0,4,0,0,3.46977894307799e-06,8,0,0
"182",11174,1.99573915037768e-08,0,"(11) Mainland Fjords",27,34,2,0,0,0,0,1.75680052817745e-08,1,0,0
"183",11302,1.09844302512169e-06,0,"(13) Eastern Queen Charlotte Sound",43.9522264961111,62.71969697,2,0,4,0,0,9.66932620598952e-07,7,0,0
"184",11304,2.16409144024858e-08,0,"(13) Eastern Queen Charlotte Sound",26,31,2,0,0,0,0,1.90499694538413e-08,2,0,0
"185",11310,2.15024444643571e-08,0,"(11) Mainland Fjords",25.0833333333333,28,6,0,0,0,0,1.89280777424946e-08,2,0,0
"186",11311,2.2099303459303e-08,0,"(11) Mainland Fjords",27,27,1,0,0,0,0,1.94534781673798e-08,3,0,0
"187",11314,2.18500377688383e-08,0,"(11) Mainland Fjords",26,30,2,0,0,0,0,1.92340556558847e-08,2,0,0
"188",11330,2.41011265525244e-08,0,"(11) Mainland Fjords",24.5,28,4,0,0,0,0,2.12156342421471e-08,4,0,0
"189",11331,8.40834325699447e-06,0,"(11) Mainland Fjords",99.586532,151.1727273,2,0,3,0,0,7.40165961678394e-06,9,0,0
